Title,Year,Rating,Votes,Genres,Runtime_minutes,Director,Actors,URL
One Flew Over the Cuckoo's Nest,1975,8.6,1200000,['Drama'],133,Miloš Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco', 'Dean R. Brooks', 'Alonzo Brown', 'Scatman Crothers', 'Mwako Cumbuka', 'Danny DeVito', 'William Duell', 'Josip Elic', 'Lan Fendors', 'Nathan George', 'Ken Kenny', 'Mel Lambert', 'Sydney Lassick', 'Kay Lee', 'Christopher Lloyd']",https://www.imdb.com/title/tt0073486/
The Silence of the Lambs,1991,8.6,1700000,"['Crime', 'Drama', 'Horror']",118,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine', 'Anthony Heald', 'Brooke Smith', 'Diane Baker', 'Kasi Lemmons', 'Charles Napier', 'Tracey Walter', 'Roger Corman', 'Ron Vawter', 'Danny Darst', 'Jeffrie Lane', 'Frankie Faison', 'Paul Lazar', 'Dan Butler', 'Chris Isaak']",https://www.imdb.com/title/tt0102926/
High and Low,1963,8.4,74000,"['Crime', 'Drama', 'Mystery']",143,Akira Kurosawa,"['Toshirō Mifune', 'Yutaka Sada', 'Tatsuya Nakadai', 'Kyōko Kagawa', 'Tatsuya Mihashi', 'Isao Kimura', 'Kenjirō Ishiyama', 'Takeshi Katō', 'Takashi Shimura', 'Jun Tazaki', 'Nobuo Nakamura', 'Yūnosuke Itō', 'Tsutomu Yamazaki', 'Minoru Chiaki', 'Eijirō Tōno', 'Masao Shimizu', 'Masahiko Shimazu', 'Toshio Egi']",https://www.imdb.com/title/tt0057565/
Psycho,1960,8.5,794000,"['Drama', 'Horror', 'Mystery']",109,Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Simon Oakland', 'Frank Albertson', 'Patricia Hitchcock', 'Vaughn Taylor', 'Lurene Tuttle', 'John Anderson', 'Mort Mills', 'Fletcher Allen', 'Walter Bacon', 'Prudence Beers', 'Kit Carson', 'Johnny Clark']",https://www.imdb.com/title/tt0054215/
Rear Window,1954,8.4,574000,"['Drama', 'Mystery', 'Thriller']",112,Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter', 'Raymond Burr', 'Judith Evelyn', 'Ross Bagdasarian', 'Georgine Darcy', 'Sara Berner', 'Frank Cady', 'Jesslyn Fax', 'Rand Harper', 'Irene Winston', 'Havis Davenport', 'Jerry Antes', 'Barbara Bailey', 'Bennie Bartlett', 'Nick Borgani']",https://www.imdb.com/title/tt0047396/
Violet Evergarden: The Movie,2020,8.3,15000,"['Animation', 'Drama', 'Fantasy']",140,Taichi Ishidate,"['Yui Ishikawa', 'Daisuke Namikawa', 'Takehito Koyasu', 'Hidenobu Kiuchi', 'Haruka Tomatsu', 'Koki Uchiyama', 'Aya Endô', 'Minori Chihara', 'Kaori Mizuhashi', 'Rina Satô', 'Daichi Endô', 'Mayuno Yasokawa', 'Megumi Matsumoto', 'Sumire Morohoshi', 'Jôji Nakata', 'Yasuhiro Mamiya', 'Mitsuru Miyamoto', 'Yuuki Sanpei']",https://www.imdb.com/title/tt8652818/
Witness for the Prosecution,1957,8.4,164000,"['Crime', 'Drama', 'Mystery']",116,Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester', 'John Williams', 'Henry Daniell', 'Ian Wolfe', 'Torin Thatcher', 'Norma Varden', ""Una O'Connor"", 'Francis Compton', 'Philip Tonge', 'Ruta Lee', 'Patrick Aherne', 'Don Ames', 'Larry Arnold', 'Walter Bacon', 'Eddie Baker']",https://www.imdb.com/title/tt0051201/
City of God,2002,8.6,882000,"['Crime', 'Drama']",130,Kátia Lund,"['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen', 'Douglas Silva', 'Jonathan Haagensen', 'Seu Jorge', 'Jefechander Suplino', 'Alice Braga', 'Emerson Gomes', 'Edson Oliveira', 'Michel Gomes', 'Roberta Rodrigues', 'Luis Otávio', 'Kiko Marques', 'Gustavo Engrácia', 'Darlan Cunha', 'Robson Rocha']",https://www.imdb.com/title/tt0317248/
Ikiru,1952,8.3,104000,['Drama'],143,Akira Kurosawa,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori"", 'Haruo Tanaka', 'Minoru Chiaki', 'Miki Odagiri', 'Bokuzen Hidari', 'Minosuke Yamada', 'Kamatari Fujiwara', 'Makoto Kobori', 'Nobuo Nakamura', 'Atsushi Watanabe', 'Isao Kimura', 'Masao Shimizu', 'Yūnosuke Itō', 'Kumeko Urabe', 'Eiko Miyoshi', 'Noriko Honma']",https://www.imdb.com/title/tt0044741/
It's a Wonderful Life,1946,8.6,559000,"['Drama', 'Family', 'Fantasy']",130,Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell', 'Henry Travers', 'Beulah Bondi', 'Frank Faylen', 'Ward Bond', 'Gloria Grahame', 'H.B. Warner', 'Frank Albertson', 'Todd Karns', 'Samuel S. Hinds', 'Mary Treen', 'Virginia Patton', 'Charles Williams', 'Sarah Edwards', 'William Edmunds']",https://www.imdb.com/title/tt0038650/
Sunset Boulevard,1950,8.4,264000,"['Drama', 'Film-Noir']",110,Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson', 'Fred Clark', 'Lloyd Gough', 'Jack Webb', 'Franklyn Farnum', 'Larry J. Blake', 'Charles Dayton', 'Cecil B. DeMille', 'Hedda Hopper', 'Buster Keaton', 'Anna Q. Nilsson', 'H.B. Warner', 'Ray Evans', 'Jay Livingston', 'Fred Aldrich']",https://www.imdb.com/title/tt0043014/
Modern Times,1936,8.5,288000,"['Comedy', 'Drama', 'Romance']",87,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford', 'Chester Conklin', 'Hank Mann', 'Stanley Blystone', 'Al Ernest Garcia', 'Richard Alexander', 'Cecil Reynolds', 'Mira McKinney', 'Murdock MacQuarrie', 'Wilfred Lucas', 'Edward LeSaint', 'Fred Malatesta', 'Sammy Stein', 'Juana Sutton', 'Ted Oliver']",https://www.imdb.com/title/tt0027977/
