Title,Year,Rating,Votes,Genres,Runtime_minutes,Director,Actors,URL
Godzilla Minus One,2023,7.6,231000,"['Action', 'Adventure', 'Drama']",124,Takashi Yamazaki,"['Minami Hamabe', 'Ryûnosuke Kamiki', 'Sakura Andō', 'Yuki Yamada', 'Munetaka Aoki', 'Hidetaka Yoshioka', 'Kuranosuke Sasaki', 'Miou Tanaka', 'Sae Nagatani', 'Yûya Endô', 'Kisuke Iida', 'Kenji Mizuhashi', 'Saori', 'Masatoshi Kihara', 'Shôhei Abe', 'Kenji Anan', 'Tetsu Hirahara', 'Akihiro Yamamoto']",https://www.imdb.com/title/tt23289160/
The 400 Blows,1959,8.0,136000,"['Crime', 'Drama']",99,François Truffaut,"['Jean-Pierre Léaud', 'Albert Rémy', 'Claire Maurier', 'Guy Decomble', 'Georges Flamant', 'Patrick Auffay', 'Daniel Couturier', 'François Nocher', 'Richard Kanayan', 'Renaud Fontanarosa', 'Michel Girard', 'Serge Moati', 'Bernard Abbou', 'Jean-François Bergouignan', 'Michel Lesignor', 'Luc Andrieux', 'Robert Beauvais', 'Bouchon']",https://www.imdb.com/title/tt0053198/
Early Summer,1951,8.0,11000,"['Comedy', 'Drama', 'Romance']",125,Yasujirō Ozu,"['Setsuko Hara', 'Chishū Ryū', 'Chikage Awashima', 'Kuniko Miyake', 'Ichirō Sugai', 'Chieko Higashiyama', 'Haruko Sugimura', 'Kuniko Igawa', ""Hiroshi Nihon'yanagi"", 'Shūji Sano', 'Toyo Takahashi', 'Seiji Miyaguchi', 'Kokuten Kōdō', 'Tomoka Hasebe', 'Kazuyo Itô', 'Zen Murase', 'Tomiko Nishiwaki', 'Matsuko Shiga']",https://www.imdb.com/title/tt0043313/
The Ascent,1977,8.2,13000,"['Drama', 'War']",111,Larisa Shepitko,"['Boris Plotnikov', 'Vladimir Gostyukhin', 'Sergey Yakovlev', 'Lyudmila Polyakova', 'Viktoriya Goldentul', 'Anatoliy Solonitsyn', 'Mariya Vinogradova', 'Nikolai Sektimenko', 'Anatoli Chebotaryov', 'Sergei Kanishchev', 'Vasili Kravtsov', 'Mikhail Selyutin', 'V. Sokolov', 'Leonid Yukhin', 'Aleksandr Zvenigorsky']",https://www.imdb.com/title/tt0075404/
The Matrix,1999,8.7,2300000,"['Action', 'Sci-Fi']",136,Lana Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Gloria Foster', 'Joe Pantoliano', 'Marcus Chong', 'Julian Arahanga', 'Matt Doran', 'Belinda McClory', 'Anthony Ray Parker', 'Paul Goddard', 'Robert Taylor', 'David Aston', 'Marc Aden Gray', 'Ada Nicodemou', 'Deni Gordon', 'Rowan Witt']",https://www.imdb.com/title/tt0133093/
The Lives of Others,2006,8.4,447000,"['Drama', 'Mystery', 'Thriller']",137,Florian Henckel von Donnersmarck,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur', 'Thomas Thieme', 'Hans-Uwe Bauer', 'Volkmar Kleinert', 'Matthias Brenner', 'Charly Hübner', 'Herbert Knaup', 'Bastian Trost', 'Marie Gruber', 'Volker Zack', 'Werner Daehn', 'Martin Brambach', 'Hubertus Hartmann', 'Thomas Arnold', 'Hinnerk Schönemann']",https://www.imdb.com/title/tt0405094/
Raiders of the Lost Ark,1981,8.4,1100000,['Adventure'],115,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'Ronald Lacey', 'John Rhys-Davies', 'Denholm Elliott', 'Alfred Molina', 'Wolf Kahler', 'Anthony Higgins', 'Vic Tablian', 'Don Fellows', 'William Hootkins', 'Bill Reimbold', 'Fred Sorenson', 'Patrick Durkin', 'Matthew Scurfield', 'Malcolm Weaver', 'Sonny Caldinez']",https://www.imdb.com/title/tt0082971/
Central Station,1998,8.0,52000,['Drama'],110,Walter Salles,"['Fernanda Montenegro', 'Vinícius de Oliveira', 'Marília Pêra', 'Soia Lira', 'Othon Bastos', 'Otávio Augusto', 'Stela Freitas', 'Matheus Nachtergaele', 'Caio Junqueira', 'Socorro Nobre', 'Manoel Gomes', 'Roberto Andrade', 'Sheyla Kenia', 'Malcon Soares', 'Maria Fernandes', 'Maria Marlene', 'Christano Camargo', 'Jorseba-Sebastiano Oliveira']",https://www.imdb.com/title/tt0140888/
The Truman Show,1998,8.2,1400000,"['Comedy', 'Drama']",103,Peter Weir,"['Jim Carrey', 'Ed Harris', 'Laura Linney', 'Noah Emmerich', 'Natascha McElhone', 'Holland Taylor', 'Brian Delate', 'Blair Slater', 'Peter Krause', 'Heidi Schanz', 'Ron Taylor', 'Don Taylor', 'Ted Raymond', 'Judy Clayton', 'Fritz Dominique', 'Angel Schmiedt', 'Nastassja Schmiedt', 'Muriel Moore']",https://www.imdb.com/title/tt0120382/
Wolf Children,2012,8.1,56000,"['Animation', 'Drama', 'Family']",117,Mamoru Hosoda,"['Aoi Miyazaki', 'Takao Ōsawa', 'Haru Kuroki', 'Yukito Nishii', 'Momoka Ôno', 'Amon Kabe', 'Takuma Hiraoka', 'Megumi Hayashibara', 'Tadashi Nakamura', 'Tamio Ôki', 'Tomie Kataoka', 'Takashi Kobayashi', 'Hajime Inoue', 'Shôta Sometani', 'Taichi Masu', 'Masahiro Usui', 'Kae Okumura', 'Ichirô Hashimoto']",https://www.imdb.com/title/tt2140203/
We All Loved Each Other So Much,1974,8.0,9100,"['Comedy', 'Drama']",124,Ettore Scola,"['Nino Manfredi', 'Vittorio Gassman', 'Stefania Sandrelli', 'Stefano Satta Flores', 'Giovanna Ralli', 'Aldo Fabrizi', 'Mike Bongiorno', 'Federico Fellini', 'Marcello Mastroianni', 'Nello Meniconi', 'Guidarino Guidi', 'Pierluigi', 'Alfonso Crudele', 'Isa Barzizza', 'Marcella Michelangeli', 'Livia Cerini', 'Elena Fabrizi', 'Fiammetta Baralla']",https://www.imdb.com/title/tt0075793/
The Passion of Joan of Arc,1928,8.1,69000,"['Biography', 'Drama', 'History']",114,Carl Theodor Dreyer,"['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz', 'Antonin Artaud', 'Michel Simon', ""Jean d'Yd"", 'Louis Ravet', 'Armand Lurville', 'Jacques Arnna', 'Alexandre Mihalesco', 'Léon Larive', 'Jean Aymé', 'Camille Bardou', 'Gilbert Dacheux', 'Gilbert Dalleu', 'Paul Delauzac', 'Dimitri Dimitriev']",https://www.imdb.com/title/tt0019254/
Incendies,2010,8.3,259000,"['Drama', 'Mystery', 'War']",131,Denis Villeneuve,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel', 'Hussein Sami', 'Rémy Girard', 'Dominique Briand', 'Frédéric Paquet', 'Hamad Najm', 'Ahmad Massad', 'Bader Alami', 'Majida Hussein', 'Asriah Nijres', 'John Dunn-Hill', 'Nadia Essadiqi', 'Chaouki Charbel', 'Axel Garbi', 'Amine Benzenine']",https://www.imdb.com/title/tt1255953/
Oppenheimer,2023,8.2,1100000,"['Biography', 'Drama', 'History']",180,Christopher Nolan,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Alden Ehrenreich', 'Scott Grimes', 'Jason Clarke', 'Kurt Koehler', 'Tony Goldwyn', 'John Gowans', 'Macon Blair', ""James D'Arcy"", 'Kenneth Branagh', 'Harry Groener', 'Gregory Jbara', 'Ted King', 'Tim DeKay', 'Steven Houska']",https://www.imdb.com/title/tt15398776/
The Sting,1973,8.2,306000,"['Comedy', 'Crime', 'Drama']",129,George Roy Hill,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning', 'Ray Walston', 'Eileen Brennan', 'Harold Gould', 'John Heffernan', 'Dana Elcar', 'Jack Kehoe', 'Dimitra Arliss', 'Robert Earl Jones', 'James Sloyan', 'Charles Dierkop', 'Lee Paul', 'Sally Kirkland', 'Avon Long', 'Arch Johnson']",https://www.imdb.com/title/tt0070735/
"Paris, Texas",1984,8.1,145000,['Drama'],145,Wim Wenders,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell', 'Sam Berry', 'Bernhard Wicki', 'Aurore Clément', 'Claresie Mobley', 'Hunter Carson', 'Viva', 'Socorro Valdez', 'Edward Fayton', 'Justin Hogg', 'Tom Farrell', 'John Lurie', 'Jeni Vici', 'Sally Norvell', 'Sharon Menzel', 'The Mydolls']",https://www.imdb.com/title/tt0087884/
Aparajito,1956,8.2,20000,['Drama'],110,Satyajit Ray,"['Pinaki Sengupta', 'Smaran Ghosal', 'Kamala Adhikari', 'Rani Bala', 'Lalchand Banerjee', 'Kali Bannerjee', 'Kanu Bannerjee', 'Karuna Bannerjee', 'Panchanan Bhattacharya', 'Debabrata Chakraborty', 'Harendrakumar Chakravarti', 'Hemanta Chatterjee', 'Meenakshi Devi', 'Subodh Ganguli', 'Charuprakash Ghosh', 'Santi Gupta', 'Ajay Mitra', 'Anil Mukherjee']",https://www.imdb.com/title/tt0048956/
A Taxi Driver,2017,7.9,39000,"['Action', 'Drama', 'History']",137,Hun Jang,"['Song Kang-ho', 'Thomas Kretschmann', 'Yoo Hai Jin', 'Ryu Jun-yeol', 'Park Hyuk-kwon', 'Choi Gwi-hwa', 'Cha Soon-bae', 'Shin Dam-Soo', 'Seong-hyeon Ryoo', 'Um Tae-goo', 'Min-hee Park', 'Lee Jeong-eun', 'Eun-mi Yoo', 'Kwon Soon-joon', 'Yoon Seok-ho', 'Heo Jung-do', 'Lee Bong-ryun', 'Lee Ho-Cheol']",https://www.imdb.com/title/tt6878038/
The Third Man,1949,8.1,197000,"['Drama', 'Film-Noir', 'Mystery']",104,Carol Reed,"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard', 'Paul Hörbiger', 'Ernst Deutsch', 'Erich Ponto', 'Siegfried Breuer', 'Hedwig Bleibtreu', 'Bernard Lee', 'Wilfrid Hyde-White', 'Nelly Arno', 'Jack Arrow', 'Harold Ayer', 'Harry Belcher', 'Leo Bieber', 'Paul Birch', 'Martin Boddey']",https://www.imdb.com/title/tt0041959/
The Battle of Algiers,1966,8.1,77000,"['Drama', 'War']",121,Gillo Pontecorvo,"['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi', 'Samia Kerbash', 'Ugo Paletti', 'Fouzia El Kader', 'Mohamed Ben Kassen', 'Si Mohamed Baghdadi', 'Franco Morici', 'Tommaso Neri', 'Rouiched', 'Gene Wesson']",https://www.imdb.com/title/tt0058946/
How to Train Your Dragon,2010,8.1,909000,"['Animation', 'Action', 'Adventure']",98,Dean DeBlois,"['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'T.J. Miller', 'Kristen Wiig', 'Robin Atkin Downes', 'Philip McGrade', 'Kieron Elliott', 'Ashley Jensen', 'David Tennant', 'Randy Thom']",https://www.imdb.com/title/tt0892769/
Finding Nemo,2003,8.2,1200000,"['Animation', 'Adventure', 'Comedy']",100,Andrew Stanton,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe', 'Brad Garrett', 'Allison Janney', 'Austin Pendleton', 'Stephen Root', 'Vicki Lewis', 'Joe Ranft', 'Geoffrey Rush', 'Andrew Stanton', 'Elizabeth Perkins', 'Nicholas Bird', 'Bob Peterson', 'Barry Humphries', 'Eric Bana', 'Bruce Spence']",https://www.imdb.com/title/tt0266543/
Tampopo,1985,7.9,27000,['Comedy'],114,Jūzō Itami,"['Ken Watanabe', 'Tsutomu Yamazaki', 'Nobuko Miyamoto', 'Kōji Yakusho', 'Rikiya Yasuoka', 'Kinzô Sakura', 'Yoshi Katô', 'Hideji Ōtaki', 'Fukumi Kuroda', 'Setsuko Shinoi', 'Yoriko Dôguchi', 'Masahiko Tsugawa', 'Chôei Takahashi', 'Akio Tanaka', 'Yoshihei Saga', 'Toshimune Kato', 'Isao Hashizume', 'Mario Abe']",https://www.imdb.com/title/tt0092048/
Sanjuro,1962,8.0,44000,"['Action', 'Drama', 'Thriller']",96,Akira Kurosawa,"['Toshirō Mifune', 'Tatsuya Nakadai', 'Keiju Kobayashi', 'Yûzô Kayama', 'Reiko Dan', 'Takashi Shimura', 'Kamatari Fujiwara', 'Takako Irie', 'Masao Shimizu', 'Yūnosuke Itō', 'Akira Kubo', 'Hiroshi Tachikawa', 'Yoshio Tsuchiya', 'Kunie Tanaka', 'Tatsuyoshi Ehara', 'Akihiko Hirata', 'Toranosuke Ogawa', 'Sachio Sakai']",https://www.imdb.com/title/tt0056443/
Ordet,1955,8.2,19000,['Drama'],126,Carl Theodor Dreyer,"['Henrik Malberg', 'Emil Hass Christensen', 'Preben Lerdorff Rye', 'Hanne Aagesen', 'Kirsten Andreasen', 'Sylvia Eckhausen', 'Birgitte Federspiel', 'Ejner Federspiel', 'Ann Elisabeth Groth', 'Cay Kristiansen', 'Gerda Nielsen', 'Ove Rud', 'Susanne Rud', 'Henry Skjær', 'Edith Trane']",https://www.imdb.com/title/tt0048452/
The Usual Suspects,1995,8.5,1300000,"['Crime', 'Drama', 'Mystery']",106,Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin', 'Benicio Del Toro', 'Kevin Pollak', 'Pete Postlethwaite', 'Suzy Amis', 'Giancarlo Esposito', 'Dan Hedaya', 'Paul Bartel', 'Carl Bressler', 'Phillipe Simon', 'Jack Shearer', 'Christine Estabrook', 'Clark Gregg', 'Morgan Hunter', 'Ken Daly']",https://www.imdb.com/title/tt0114814/
There Will Be Blood,2007,8.2,719000,['Drama'],158,Paul Thomas Anderson,"['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds', 'Martin Stringer', 'Matthew Braden Stringer', 'Jacob Stringer', 'Joseph Mussey', 'Barry Del Sherman', 'Harrison Taylor', 'Stockton Taylor', 'Paul F. Tompkins', 'Dillon Freasier', 'Kevin Breznahan', 'Jim Meskimen', 'Erica Sullivan', 'Randall Carver', 'Coco Leigh', 'Sydney McCallister']",https://www.imdb.com/title/tt0469494/
Devils on the Doorstep,2000,8.2,9500,"['Comedy', 'Drama', 'War']",139,Wen Jiang,"['Wen Jiang', 'Kenya Sawada', 'Hongbo Jiang', 'Teruyuki Kagawa', 'Ding Yuan', 'Zhijun Cong', 'Zi Xi', 'Haibin Li', 'Weidong Cai', 'Lianmei Chen', 'Yoshimoto Miyaji', 'Qiang Chen', 'David Wu', 'Shu Chen', 'Jianquan Shi', 'Katsuhiro Nagano', 'Ryosuke Uomi', 'Yunshen Bai']",https://www.imdb.com/title/tt0245929/
Eternal Sunshine of the Spotless Mind,2004,8.3,1200000,"['Drama', 'Romance', 'Sci-Fi']",108,Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne', 'Elijah Wood', 'Thomas Jay Ryan', 'Mark Ruffalo', 'Jane Adams', 'David Cross', 'Kirsten Dunst', 'Ryan Whitney', 'Debbon Ayer', 'Amir Ali Said', 'Brian Price', 'Paulie Litt', 'Josh Flitter', 'Lola Daehler', ""Deirdre O'Connell""]",https://www.imdb.com/title/tt0338013/
Lawrence of Arabia,1962,8.3,346000,"['Adventure', 'Biography', 'Drama']",227,David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins', 'Omar Sharif', 'José Ferrer', 'Anthony Quayle', 'Claude Rains', 'Arthur Kennedy', 'Donald Wolfit', 'I.S. Johar', 'Gamil Ratib', 'Michel Ray', 'John Dimech', 'Zia Mohyeddin', 'Howard Marion-Crawford', 'Jack Gwillim', 'Hugh Miller']",https://www.imdb.com/title/tt0056172/
Memories of Murder,2003,8.1,275000,"['Crime', 'Drama', 'Mystery']",131,Bong Joon Ho,"['Song Kang-ho', 'Kim Sang-kyung', 'Kim Roe-ha', 'Song Jae-ho', 'Byun Hee-Bong', 'Ko Seo-hie', 'Ryu Tae-ho', 'Park No-shik', 'Park Hae-il', 'Jeon Mi-seon', 'Seo Young-hwa', 'Woo Go-na', 'Ok-joo Lee', 'Choi Jong-ryul', 'Yoo Seung-mok', 'Hun-Kyung Lee', 'Shin Hyun-jong', 'Lee Jae-eung']",https://www.imdb.com/title/tt0353969/
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1100000,"['Adventure', 'Family', 'Fantasy']",130,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Ralph Fiennes', 'Michael Gambon', 'Alan Rickman', 'Evanna Lynch', 'Domhnall Gleeson', 'Clémence Poésy', 'Warwick Davis', 'John Hurt', 'Helena Bonham Carter', 'Graham Duff', 'Anthony Allgood', 'Rusty Goffe', 'Jon Key', 'Kelly Macdonald', 'Jason Isaacs']",https://www.imdb.com/title/tt1201607/
Unforgiven,1992,8.2,473000,"['Drama', 'Western']",130,Clint Eastwood,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris', 'Jaimz Woolvett', 'Saul Rubinek', 'Frances Fisher', 'Anna Thomson', 'David Mucci', 'Rob Campbell', 'Anthony James', 'Tara Frederick', 'Beverley Elliott', 'Liisa Repo-Martell', 'Josie Smith', 'Shane Thomas Meier', 'Aline Levasseur', 'Cherrilene Cardinal']",https://www.imdb.com/title/tt0105695/
Monty Python and the Holy Grail,1975,8.1,608000,"['Adventure', 'Comedy', 'Fantasy']",91,Terry Gilliam,"['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam', 'Terry Jones', 'Michael Palin', 'Connie Booth', 'Carol Cleveland', 'Neil Innes', 'Bee Duffell', 'John Young', 'Rita Davies', 'Avril Stewart', 'Sally Kinghorn', 'Mark Zycon', 'Elspeth Cameron', 'Mitsuko Forstater', 'Sandy Johnson']",https://www.imdb.com/title/tt0071853/
8½,1963,8.0,134000,['Drama'],138,Federico Fellini,"['Marcello Mastroianni', 'Anouk Aimée', 'Claudia Cardinale', 'Sandra Milo', 'Rossella Falk', 'Barbara Steele', 'Madeleine Lebeau', 'Caterina Boratto', 'Eddra Gale', 'Guido Alberti', 'Mario Conocchia', 'Bruno Agostini', 'Cesarino Miceli Picardi', 'Jean Rougeul', 'Mario Pisu', 'Yvonne Casadei', 'Ian Dallas', 'Mino Doro']",https://www.imdb.com/title/tt0056801/
Raise the Red Lantern,1991,8.1,38000,"['Drama', 'Romance']",125,Yimou Zhang,"['Gong Li', 'Jingwu Ma', 'Saifei He', 'Cuifen Cao', 'Qi Zhao', 'Lin Kong', 'Shuyuan Jin', 'Weimin Ding', 'Zengyin Cao', 'Zhigang Cui', 'Chu Xiao', 'Espérance Pham Thai Lan']",https://www.imdb.com/title/tt0101640/
Still Walking,2008,7.9,21000,['Drama'],115,Hirokazu Koreeda,"['Hiroshi Abe', 'Yui Natsukawa', 'You', 'Kazuya Takahashi', 'Shohei Tanaka', 'Hotaru Nomoto', 'Ryôga Hayashi', 'Susumu Terajima', 'Haruko Katō', 'Kirin Kiki', 'Yoshio Harada']",https://www.imdb.com/title/tt1087578/
Le Samouraï,1967,8.0,67000,"['Crime', 'Drama', 'Thriller']",101,Jean-Pierre Melville,"['Alain Delon', 'François Périer', 'Nathalie Delon', 'Cathy Rosier', 'Jacques Leroy', 'Michel Boisrond', 'Robert Favart', 'Jean-Pierre Posier', 'Catherine Jourdan', 'Roger Fradet', 'Carlo Nell', 'Robert Rondo', 'André Salgues', 'André Thorent', 'Jacques Deschamps', 'Georges Casati', 'Jacques Léonard', 'Pierre Vaudier']",https://www.imdb.com/title/tt0062229/
Ivan's Childhood,1962,8.0,44000,"['Drama', 'War']",95,Andrei Tarkovsky,"['Nikolay Burlyaev', 'Valentin Zubkov', 'Evgeniy Zharikov', 'Stepan Krylov', 'Nikolay Grinko', 'Dmitri Milyutenko', 'Valentina Malyavina', 'Irma Tarkovskaya', 'Andrei Konchalovsky', 'Ivan Savkin', 'Vladimir Marenkov', 'Vera Miturich', 'Nikolay Smorchkov']",https://www.imdb.com/title/tt0056111/
Time of the Gypsies,1988,8.1,35000,"['Comedy', 'Crime', 'Drama']",142,Emir Kusturica,"['Davor Dujmovic', 'Bora Todorovic', 'Ljubica Adzovic', 'Husnija Hasimovic', 'Sinolicka Trpkova', 'Zabit Memedov', 'Elvira Sali', 'Suada Karisik', 'Predrag Lakovic', 'Mirsad Zulic', 'Ajnur Redzepi', 'Sedrije Halim', 'Saban Rojan', 'Branko Djuric', 'Edin Rizvanovic', 'Marjeta Gregorac', 'Boris Juh', 'Ibro Zulic']",https://www.imdb.com/title/tt0097223/
The Green Mile,1999,8.6,1600000,"['Crime', 'Drama', 'Fantasy']",189,Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt', 'James Cromwell', 'Michael Jeter', 'Graham Greene', 'Doug Hutchison', 'Sam Rockwell', 'Barry Pepper', 'Jeffrey DeMunn', 'Patricia Clarkson', 'Harry Dean Stanton', 'Dabbs Greer', 'Eve Brent', 'William Sadler', 'Mack Miles', 'Rai Tasco']",https://www.imdb.com/title/tt0120689/
Scenes from a Marriage,1974,8.3,11000,['Drama'],169,Ingmar Bergman,"['Liv Ullmann', 'Erland Josephson', 'Bibi Andersson', 'Gunnel Lindblom', 'Jan Malmsjö', 'Rossana Mariano', 'Anita Wall', 'Lena Bergman']",https://www.imdb.com/title/tt6725014/
Reservoir Dogs,1992,8.2,1200000,"['Crime', 'Thriller']",99,Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn', 'Steve Buscemi', 'Lawrence Tierney', 'Randy Brooks', 'Kirk Baltz', 'Edward Bunker', 'Quentin Tarantino', 'Rich Turner', 'David Steen', 'Tony Cosmo', 'Stevo Polyi', 'Michael Sottile', 'Robert Ruth', 'Lawrence Bender', 'Linda Kaye']",https://www.imdb.com/title/tt0105236/
Full Metal Jacket,1987,8.2,860000,"['Drama', 'War']",116,Stanley Kubrick,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"", 'Adam Baldwin', 'Dorian Harewood', 'Kevyn Major Howard', 'Arliss Howard', ""Ed O'Ross"", 'John Terry', 'Kieron Jecchinis', 'Kirk Taylor', 'Tim Colceri', 'Jon Stafford', 'Bruce Boa', 'Ian Tyler', 'Sal Lopez', 'Gary Landon Mills', 'Papillon Soo']",https://www.imdb.com/title/tt0093058/
Persona,1966,8.0,142000,"['Drama', 'Thriller']",83,Ingmar Bergman,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook', 'Gunnar Björnstrand', 'Jörgen Lindström']",https://www.imdb.com/title/tt0060827/
In the Mood for Love,2000,8.0,192000,"['Drama', 'Romance']",98,Wong Kar-Wai,"['Maggie Cheung', 'Tony Leung Chiu-wai', 'Ping-Lam Siu', ""Tung Cho 'Joe' Cheung"", 'Rebecca Pan', 'Kelly Lai Chen', 'Man-Lei Chan', 'Kam-Wah Koo', 'Chien Szu-Ying', 'Paulyn Sun', 'Roy Cheung', 'Po-chun Chow', 'Hsien Yu', 'Julien Carbon', 'Laurent Courtiaud', 'Charles de Gaulle']",https://www.imdb.com/title/tt0118694/
Vertigo,1958,8.2,463000,"['Mystery', 'Romance', 'Thriller']",128,Alfred Hitchcock,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore', 'Henry Jones', 'Raymond Bailey', 'Ellen Corby', 'Konstantin Shayne', 'Lee Patrick', 'David Ahdar', 'Isabel Analla', 'Jack Ano', 'Margaret Bacon', 'John Benson', 'Danny Borzage', 'Margaret Brayton', 'Paul Bryar', 'Boyd Cabeen']",https://www.imdb.com/title/tt0052357/
Sherlock Jr.,1924,8.1,67000,"['Action', 'Comedy', 'Romance']",45,Buster Keaton,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly', 'Ward Crane', 'Jane Connelly', 'George Davis', 'Doris Deane', 'Christine Francis', 'Betsy Ann Hisle', 'Kewpie Morgan', 'Steve Murphy', 'John Patrick', 'Ford West']",https://www.imdb.com/title/tt0015324/
The Disappearance of Haruhi Suzumiya,2010,8.0,9100,"['Animation', 'Drama', 'Mystery']",162,Tatsuya Ishihara,"['Aya Hirano', 'Tomokazu Sugita', 'Minori Chihara', 'Yûko Gotô', 'Daisuke Ono', 'Natsuko Kuwatani', 'Yuki Matsuoka', 'Minoru Shiraishi', 'Megumi Matsumoto', 'Sayaka Aoki', 'Tomo Adachi', 'Mai Aizawa', 'Ryôta Asari', 'Tomoyuki Higuchi', 'Mayu Iino', 'Yoriko Nagata', 'Noriko Obata', 'Naoko Sugiura']",https://www.imdb.com/title/tt1572781/
Wild Strawberries,1957,8.1,126000,"['Drama', 'Romance']",92,Ingmar Bergman,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin', 'Gunnar Björnstrand', 'Jullan Kindahl', 'Folke Sundquist', 'Björn Bjelfvenstam', 'Naima Wifstrand', 'Gunnel Broström', 'Gertrud Fridh', 'Sif Ruud', 'Gunnar Sjöberg', 'Max von Sydow', 'Åke Fridell', 'Yngve Nordwall', 'Per Sjöstrand', 'Gio Petré', 'Gunnel Lindblom']",https://www.imdb.com/title/tt0050986/
Heart of a Dog,1988,8.5,11000,"['Comedy', 'Drama', 'Sci-Fi']",136,Vladimir Bortko,"['Evgeniy Evstigneev', 'Vladimir Tolokonnikov', 'Boris Plotnikov', 'Roman Kartsev', 'Nina Ruslanova', 'Evgeniy Kuznetsov', 'Olga Melikhova', 'Aleksey Mironov', 'Anzhelika Nevolina', 'Natalya Fomenko', 'Ivan Ganzha', 'Valentina Kovel', 'Sergey Filippov', 'Roman Tkachuk', 'Natalya Lapina', 'Sergey Bekhterev', 'Aleksandr Belinsky', 'Igor Efimov']",https://www.imdb.com/title/tt0096126/
Andrei Rublev,1966,8.0,61000,"['Biography', 'Drama', 'History']",205,Andrei Tarkovsky,"['Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko', 'Nikolay Sergeev', 'Irma Tarkovskaya', 'Nikolay Burlyaev', 'Yuriy Nazarov', 'Yuriy Nikulin', 'Rolan Bykov', 'Nikolay Grabbe', 'Mikhail Kononov', 'Stepan Krylov', 'Bolot Beyshenaliev', 'B. Matysik', 'Anatoliy Obukhov', 'Vladimir Titov', 'Nikolay Glazkov', 'K. Aleksandrov']",https://www.imdb.com/title/tt0060107/
Rascal Does Not Dream of a Dreaming Girl,2019,8.3,11000,"['Animation', 'Drama', 'Fantasy']",89,Sôichi Masui,"['Kaito Ishikawa', 'Asami Seto', 'Inori Minase', 'Nao Toyama', 'Atsumi Tanezaki', 'Maaya Uchida', 'Yurika Kubo', 'Yuma Uchida', 'Satomi Satô', 'Natsuki Aikawa', 'Tomoyuki Shimura', 'Airi Ohtsu', 'Masaya Fukunishi', 'Karin Nanami', 'Himika Akaneya', 'Fumitake Ishiguro', 'Akari Kageyama', 'James McDonough']",https://www.imdb.com/title/tt9881586/
To Be or Not to Be,1942,8.1,50000,"['Comedy', 'Romance', 'War']",99,Ernst Lubitsch,"['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart', 'Lionel Atwill', 'Stanley Ridges', 'Sig Ruman', 'Tom Dugan', 'Charles Halton', 'George Lynn', 'Henry Victor', 'Maude Eburne', 'Halliwell Hobbes', 'Miles Mander', 'Rudolph Anders', 'Paul Barrett', 'Sven Hugo Borg', 'Danny Borzage']",https://www.imdb.com/title/tt0035446/
